minute_of_day,down_total_mbps,up_total_mbps,down_long_form_streaming,down_short_form_video,down_video_calls,down_cloud_gaming,down_game_downloads,down_web_browsing,down_security_cameras,up_long_form_streaming,up_short_form_video,up_video_calls,up_cloud_gaming,up_game_downloads,up_web_browsing,up_security_cameras
35,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
36,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
37,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
38,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
39,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
40,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
41,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
42,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
43,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
44,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
45,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
46,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
47,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
48,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
49,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
50,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
51,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
52,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
53,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
54,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
55,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
56,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
57,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
58,7.2864617891953465,1.5991094232865195,5.410617796783057,0.0,0.0,0.0,0.0,0.3235052504897967,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.016175262524489836,1.4747218048263686
59,7.2864617891953465,1.5991094232865195,5.410617796783057,0.0,0.0,0.0,0.0,0.3235052504897967,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.016175262524489836,1.4747218048263686
60,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
61,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
62,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
63,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
64,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
65,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
66,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
67,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
68,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
69,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
70,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
71,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
72,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
73,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
74,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
